1,武汉市图书馆,图书馆,武汉市江岸区胜利街65号,江岸区,周二至周日 9:00-17:00,027-82810715,武汉市图书馆创建于1904年，是湖北省规模最大的公共图书馆之一。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
2,湖北省图书馆,图书馆,武汉市武昌区张之洞路58号,武昌区,周二至周日 9:00-17:00,027-86795547,湖北省图书馆是国家一级图书馆，创建于1904年。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
3,湖北省少年儿童图书馆,图书馆,武汉市武昌区民主路213号,武昌区,周二至周日 9:00-17:00,027-88844487,湖北省少年儿童图书馆是全国较大的少儿图书馆之一。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
4,湖北省博物馆,博物馆,武汉市武昌区东湖路160号,武昌区,周二至周日 9:00-17:00（16:00停止入场）,027-86794127,湖北省博物馆是中国重要的历史艺术类博物馆之一，收藏了大量楚文化文物。,免费，需预约,2025-05-22 16:58:49,2025-05-22 16:58:49
5,武汉博物馆,博物馆,武汉市江岸区解放公园路,江岸区,周二至周日 9:00-17:00,027-65698001,武汉博物馆是一座地志类博物馆，展示了武汉三镇的历史变迁。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
6,辛亥革命博物馆,博物馆,武汉市武昌区阅马场首义路,武昌区,周二至周日 9:00-17:00,027-88866717,辛亥革命博物馆是全国爱国主义教育示范基地，位于1911年武昌起义爆发地。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
7,中国地质大学逸夫博物馆,博物馆,武汉市洪山区鲁磨路388号,洪山区,周二至周日 9:00-16:30,027-67883448,中国地质大学逸夫博物馆是国内高校最大的地质类博物馆之一。,免费,2025-05-22 16:58:49,2025-05-22 16:58:49
8,湖北美术馆,美术馆,武汉市武昌区东湖路武汉美术馆路1号,武昌区,周二至周日 9:00-17:00,027-86793809,湖北美术馆是湖北省规模最大的美术展览馆。,免费，特展需购票,2025-05-22 16:58:49,2025-05-22 16:58:49
9,武汉美术馆,美术馆,武汉市江汉区解放大道1008号,江汉区,周二至周日 9:00-17:00,027-85791196,武汉美术馆是武汉市重要的艺术展示平台。,免费，特展需购票,2025-05-22 16:58:49,2025-05-22 16:58:49
10,武汉群艺馆,文化中心,武汉市江岸区京汉大道1162号,江岸区,周二至周日 9:00-17:00,027-82800244,武汉群艺馆是武汉市重要的群众文化活动中心。,免费，部分活动需购票,2025-05-22 16:58:49,2025-05-22 16:58:49
11,武汉琴台大剧院,文化中心,武汉市汉阳区龟山北路58号,汉阳区,演出时间因节目而异,027-84889088,武汉琴台大剧院是武汉市标志性文化建筑。,根据演出定价,2025-05-22 16:58:49,2025-05-22 16:58:49
